OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTAre,ShapeSTLen
"1176",SRA,"3",Very High,,,"2794.270123960726323","275.544424446621406"
"1177",SRA,"3",Very High,,,"2578.096644685285810","264.671865659641810"
"1178",SRA,"3",Very High,,,"2370.648304680018100","253.799938429840836"
"1179",SRA,"3",Very High,,,"1665.503882075850697","202.977836937959466"
"1180",SRA,"3",Very High,,,"4519.501133906735049","323.988501731082579"
"1181",SRA,"3",Very High,,,"272.805441639761455","80.042405401141835"
"1182",SRA,"3",Very High,,,"1020.180072660078963","158.199426865935607"
"1183",SRA,"3",Very High,,,"1911047.758893991587684","6841.786277054956372"
"1184",SRA,"3",Very High,,,"4587.782613562252664","354.844095634861162"
"1185",SRA,"3",Very High,,,"10221.938711498351040","848.483930599069367"
"1186",SRA,"3",Very High,,,"11785302.791146922856569","19671.547276176555897"
"1187",SRA,"3",Very High,,,"4174713.724218779243529","16533.310037809114874"
"1188",SRA,"3",Very High,,,"2007766.645608008373529","5721.433338443674984"
"1189",SRA,"3",Very High,,,"6179426.188466138206422","16184.487721730734847"
"1190",SRA,"3",Very High,,,"2114532.542137234471738","6960.188510534501802"
"1191",SRA,"3",Very High,,,"5677019989.654237747192383","1520030.105098524130881"
"1192",SRA,"3",Very High,,,"28483424.492445502430201","37364.788980933946732"
"1193",SRA,"3",Very High,,,"71015577.056799724698067","79734.929636945598759"
"1194",SRA,"3",Very High,,,"282251.871419199160300","2194.391931196503720"
"1195",SRA,"3",Very High,,,"5288743.468239895068109","13225.683496782696238"
"1196",SRA,"3",Very High,,,"3592110696.237271308898926","969331.963640812668018"
"1197",SRA,"3",Very High,,,"57351086.810384161770344","72858.653361113232677"
"1198",SRA,"3",Very High,,,"12901657.680509625002742","29408.562933441615314"
"1199",SRA,"3",Very High,,,"17678417.626792415976524","32669.817701990767091"
"1200",SRA,"3",Very High,,,"1599.336042722557977","159.968650141631201"
"1201",SRA,"3",Very High,,,"1126688.834273587912321","10429.794812790887590"
"1202",SRA,"3",Very High,,,"481427.046063980204053","3484.802017993989011"
"1203",SRA,"3",Very High,,,"263499.455016322317533","2356.145256432272163"
"1204",SRA,"3",Very High,,,"4253121773.371109962463379","1054880.553061529994011"
"1205",LRA,"1",Moderate,,,"13606395637.323293685913086","11884620.845255624502897"
"1206",LRA,"2",High,,,"2465410609.592781543731689","7741486.733285616151989"
"1207",LRA,"3",Very High,,,"13704728536.139282226562500","6800035.989898840896785"
"1208",LRA,"-3",NonWildland,,,"28295025683.460964202880859","7673301.312671797350049"
