x,y,value
-13166854.1569,4064275.075,65535
-13169764.1569,4048705.075,65535
-13166284.1569,4058275.075,36038
-13161844.1569,4051315.075,154
-13165174.1569,4063165.075,65535
-13163614.1569,4063435.075,37682
-13163164.1569,4056235.075,36038
-13165684.1569,4063435.075,65535
-13164814.1569,4058665.075,36038
-13160704.1569,4063345.075,65535
-13169524.1569,4060795.075,65535
-13165264.1569,4048225.075,154
-13157464.1569,4050895.075,36048
-13166974.1569,4062535.075,65535
-13167604.1569,4054315.075,65535
-13166944.1569,4059565.075,65535
-13163044.1569,4059985.075,65535
-13161544.1569,4062865.075,65535
-13163374.1569,4062985.075,37682
-13167844.1569,4063585.075,65535
-13163914.1569,4044985.075,154
-13165834.1569,4064545.075,65535
-13158784.1569,4051345.075,36038
-13166104.1569,4058395.075,36038
-13158334.1569,4064035.075,65535
-13167364.1569,4057435.075,36038
-13161844.1569,4052605.075,36024
-13166044.1569,4059055.075,65535
-13164064.1569,4056865.075,36038
-13158634.1569,4063975.075,65535
-13166134.1569,4050505.075,154
-13165354.1569,4051675.075,154
-13165294.1569,4061935.075,154
-13164874.1569,4062475.075,154
-13167604.1569,4050775.075,154
-13164544.1569,4047235.075,154
-13166824.1569,4052515.075,154
-13169164.1569,4046005.075,65535
-13156624.1569,4058875.075,65535
-13168114.1569,4046785.075,65535
-13156654.1569,4051465.075,65535
-13164484.1569,4064185.075,65535
-13156954.1569,4051795.075,36038
-13165774.1569,4050595.075,154
-13163524.1569,4059085.075,154
-13157434.1569,4047145.075,65535
-13157254.1569,4055005.075,65535
-13156954.1569,4059985.075,65535
-13167214.1569,4047685.075,65535
-13159684.1569,4064425.075,65535
-13168384.1569,4055575.075,65535
-13169284.1569,4062655.075,65535
-13166584.1569,4056265.075,36038
-13157944.1569,4047445.075,65535
-13165504.1569,4053325.075,35988
-13169374.1569,4047445.075,65535
-13168924.1569,4057315.075,65535
-13166344.1569,4061125.075,65535
-13166374.1569,4056535.075,36038
-13167004.1569,4052155.075,154
-13158184.1569,4055275.075,65535
-13156234.1569,4058335.075,65535
-13166374.1569,4064335.075,65535
-13169344.1569,4059265.075,65535
-13167964.1569,4048945.075,65535
-13169494.1569,4047895.075,65535
-13168024.1569,4060315.075,65535
-13157794.1569,4061365.075,65535
-13159084.1569,4057375.075,65535
