x,y,value
-13166030.241359334,4062996.406682324,-9999.0
-13169282.581642613,4060680.722695517,-9999.0
-13160290.146052355,4055296.4722434324,210.72731
-13161180.260235146,4058034.226710594,-9999.0
-13169408.110565828,4059380.289323615,-9999.0
-13162572.490110796,4062756.8531664475,252.3148
-13156444.39631388,4048303.7910418906,-9999.0
-13166463.886730438,4061376.568622587,-9999.0
-13157676.862105438,4063749.2891607936,-9999.0
-13163804.955902355,4048258.161800771,261.78522
-13167890.351766964,4053710.8561145347,234.13542
-13162777.901076056,4051018.7308884924,190.00941
-13159034.85682021,4051303.913645488,88.71511
-13160552.615619075,4047163.0600139066,-9999.0
-13163394.133971835,4059414.5112544545,170.90108
-13167182.825108847,4048668.824970845,-9999.0
-13167799.058004627,4052148.0546061965,233.26547
-13166749.179737743,4049090.8954511993,-9999.0
-13164820.59900836,4045372.1122999717,-9999.0
-13158509.91768677,4049216.3758642776,61.779465
-13169739.050454302,4059722.5086320103,-9999.0
-13160267.32261177,4054897.216383638,276.00485
-13161180.260235146,4046090.7728476017,-9999.0
-13166190.005443426,4044801.7467859797,-9999.0
-13158897.916176705,4055889.652377984,-9999.0
-13157414.392538719,4061912.712205739,-9999.0
-13167034.472745048,4045531.814643889,-9999.0
-13161648.140767127,4045623.073126128,-9999.0
-13156284.63222979,4047881.7205615365,-9999.0
-13165493.8905056,4051281.0990249286,189.28877
-13158920.73961729,4063372.847921559,-9999.0
-13159788.030359497,4050300.0703408625,132.7906
-13169168.464439692,4062163.673031896,-9999.0
-13159445.678750731,4063737.8818505136,-9999.0
-13163941.89654586,4058045.634020874,270.0
-13159810.85380008,4045919.6631934037,-9999.0
-13158509.91768677,4050630.882338978,299.62982
-13160107.558527678,4048600.3811091664,-9999.0
-13169487.992607873,4064479.3570187036,-9999.0
-13157768.155867776,4062825.2970281267,-9999.0
-13158806.622414367,4059505.7697366932,-9999.0
-13160039.088205926,4049809.555998829,328.59128
-13165619.419428814,4062813.8897178466,-9999.0
-13164615.1880431,4048109.866767133,231.09938
-13162024.72753677,4052102.4253650773,135.81909
-13158829.445854953,4062825.2970281267,-9999.0
-13156296.04395008,4048828.527314763,-9999.0
-13165197.185778003,4058000.004779754,86.17593
-13167445.294675568,4059768.1378731295,-9999.0
-13155965.104061607,4064639.059362621,-9999.0
-13164649.423203977,4060167.393732924,183.15146
-13162241.550222322,4047687.796286779,217.23439
-13157471.451140178,4048372.2349035693,-9999.0
-13156866.629964693,4060623.6861441177,-9999.0
-13157083.452650243,4062197.8949627355,-9999.0
-13157311.687056089,4061239.680899229,-9999.0
-13162971.900321024,4047197.281944746,175.69328
-13168974.465194725,4045497.5927130496,-9999.0
-13156798.159642939,4049353.2635876355,250.96481
-13162618.136991965,4060190.2083534836,-9999.0
-13155930.868900731,4064707.5032243,-9999.0
-13164569.541161932,4050014.8875838662,234.51804
-13168917.406593263,4055444.7672770703,-9999.0
-13156786.747922646,4057167.271129326,-9999.0
-13160586.850779952,4045816.9974008854,-9999.0
-13168107.174452515,4049889.4071707884,250.08176
-13163017.547202192,4048166.9033185323,210.68124
-13162595.31355138,4063372.847921559,270.0
-13164660.83492427,4057749.043953598,194.10591
-13156706.865880601,4044858.783337379,-9999.0
-13157984.978553329,4051657.540264163,357.83463
-13164398.365357548,4048862.7492456026,187.32654
-13168905.99487297,4053813.521907053,-9999.0
